Run_ID,Base_SIR,Base_SINR,Base_PESQ_NB,Base_PESQ_WB,Base_STOI,Raw_SIR,Raw_SINR,Raw_PESQ_NB,Raw_PESQ_WB,Raw_STOI,Gauss_SIR,Gauss_SINR,Gauss_PESQ_NB,Gauss_PESQ_WB,Gauss_STOI,GAN_SIR,GAN_SINR,GAN_PESQ_NB,GAN_PESQ_WB,GAN_STOI
batch_test_5035,0.07,-2.07,1.130,1.023,0.643,21.96,7.94,1.593,1.156,0.790,17.56,7.42,1.516,1.133,0.775,N/A,N/A,N/A,N/A,N/A
batch_test_5036,-0.03,-2.13,1.361,1.069,0.710,21.33,8.39,2.038,1.446,0.835,16.54,7.74,1.896,1.401,0.827,N/A,N/A,N/A,N/A,N/A
batch_test_5037,0.03,-2.13,1.321,1.042,0.567,23.12,8.12,2.184,1.449,0.680,18.78,7.67,2.120,1.396,0.664,N/A,N/A,N/A,N/A,N/A
batch_test_5038,0.06,-2.11,1.291,1.062,0.466,25.72,10.58,1.851,1.354,0.619,20.60,10.06,1.817,1.314,0.611,N/A,N/A,N/A,N/A,N/A
batch_test_5039,-0.01,-2.12,1.222,1.039,0.510,23.20,11.01,2.020,1.405,0.690,19.39,10.44,1.967,1.362,0.683,N/A,N/A,N/A,N/A,N/A
batch_test_5040,-0.01,-2.12,1.411,1.048,0.726,20.93,8.95,2.010,1.381,0.855,14.61,7.98,1.943,1.343,0.843,N/A,N/A,N/A,N/A,N/A
batch_test_5041,-0.01,-2.13,1.266,1.046,0.654,41.32,14.38,1.911,1.395,0.736,40.68,14.16,1.919,1.415,0.737,N/A,N/A,N/A,N/A,N/A
batch_test_5042,0.13,-2.04,1.246,1.041,0.711,22.40,8.80,1.851,1.307,0.826,16.11,8.03,1.800,1.298,0.819,N/A,N/A,N/A,N/A,N/A
batch_test_5043,0.01,-2.11,1.269,1.045,0.737,31.03,9.95,2.013,1.428,0.839,28.65,9.60,1.981,1.404,0.838,N/A,N/A,N/A,N/A,N/A
batch_test_5044,0.00,-2.12,1.279,1.031,0.766,23.46,8.49,1.960,1.298,0.836,19.26,8.28,1.853,1.280,0.835,N/A,N/A,N/A,N/A,N/A
batch_test_5045,-0.03,-2.13,1.309,1.043,0.576,23.05,9.55,2.155,1.411,0.723,18.51,8.91,2.038,1.374,0.717,N/A,N/A,N/A,N/A,N/A
batch_test_5046,0.03,-2.13,1.277,1.043,0.635,20.71,6.79,1.718,1.222,0.743,16.59,6.49,1.718,1.237,0.737,N/A,N/A,N/A,N/A,N/A
batch_test_5047,-0.02,-2.15,1.246,1.028,0.573,27.01,9.13,1.959,1.389,0.723,21.02,8.53,1.913,1.370,0.700,N/A,N/A,N/A,N/A,N/A
batch_test_5048,0.01,-2.11,1.177,1.027,0.640,19.49,8.38,1.836,1.207,0.758,15.84,7.82,1.821,1.216,0.747,N/A,N/A,N/A,N/A,N/A
batch_test_5049,-0.01,-2.14,1.506,1.044,0.665,28.91,8.64,2.381,1.499,0.804,24.09,8.39,2.367,1.475,0.802,N/A,N/A,N/A,N/A,N/A
batch_test_5050,-0.01,-2.19,1.208,1.025,0.664,21.94,8.77,1.871,1.253,0.756,16.88,8.35,1.912,1.236,0.758,N/A,N/A,N/A,N/A,N/A
batch_test_5051,0.00,-2.14,1.244,1.036,0.517,22.65,9.36,1.836,1.259,0.629,18.09,9.03,1.867,1.282,0.629,N/A,N/A,N/A,N/A,N/A
batch_test_5052,-0.03,-2.17,1.259,1.043,0.667,22.15,8.83,1.795,1.264,0.774,17.58,8.40,1.858,1.270,0.768,N/A,N/A,N/A,N/A,N/A
batch_test_5053,0.01,-2.12,1.204,1.021,0.678,22.65,11.93,1.939,1.325,0.735,19.05,11.12,1.939,1.326,0.736,N/A,N/A,N/A,N/A,N/A
batch_test_5054,0.02,-2.11,1.338,1.041,0.612,26.04,11.32,1.899,1.161,0.692,24.82,11.17,1.902,1.160,0.695,N/A,N/A,N/A,N/A,N/A
batch_test_5055,0.03,-2.11,1.167,1.022,0.652,23.40,10.40,1.723,1.234,0.755,19.17,9.77,1.683,1.219,0.757,N/A,N/A,N/A,N/A,N/A
batch_test_5056,0.02,-2.11,1.267,1.032,0.648,22.03,8.52,2.011,1.268,0.767,17.84,8.20,1.950,1.272,0.754,N/A,N/A,N/A,N/A,N/A
batch_test_5057,-0.02,-2.14,1.375,1.056,0.535,19.60,8.35,1.955,1.460,0.651,17.54,7.80,1.971,1.487,0.650,N/A,N/A,N/A,N/A,N/A
batch_test_5058,0.02,-2.11,1.278,1.042,0.627,16.54,8.04,1.846,1.369,0.707,16.41,7.98,1.891,1.402,0.707,N/A,N/A,N/A,N/A,N/A
batch_test_5059,0.02,-2.11,1.405,1.033,0.732,22.11,7.18,1.976,1.303,0.840,17.77,6.71,1.962,1.294,0.831,N/A,N/A,N/A,N/A,N/A
batch_test_5060,0.01,-2.12,1.142,1.042,0.694,22.59,8.52,1.858,1.291,0.824,17.67,7.86,1.800,1.267,0.816,N/A,N/A,N/A,N/A,N/A
batch_test_5061,0.04,-2.10,1.387,1.033,0.800,21.31,8.87,2.211,1.447,0.886,17.08,8.32,2.120,1.427,0.873,N/A,N/A,N/A,N/A,N/A
batch_test_5062,0.01,-2.09,1.496,1.073,0.621,20.09,8.92,2.195,1.459,0.778,14.45,7.93,2.146,1.472,0.756,N/A,N/A,N/A,N/A,N/A
batch_test_5063,0.03,-2.10,1.442,1.070,0.710,26.93,10.60,2.115,1.463,0.813,22.24,10.12,2.041,1.460,0.805,N/A,N/A,N/A,N/A,N/A
batch_test_5064,0.03,-2.10,1.194,1.027,0.649,20.13,8.34,1.782,1.228,0.771,15.02,7.81,1.784,1.242,0.766,N/A,N/A,N/A,N/A,N/A
batch_test_5065,-0.00,-2.13,1.365,1.054,0.713,23.07,8.38,2.074,1.332,0.822,20.90,7.92,2.086,1.323,0.823,N/A,N/A,N/A,N/A,N/A
batch_test_5066,0.00,-2.11,1.225,1.031,0.610,15.10,6.58,1.915,1.290,0.706,11.28,6.21,1.943,1.308,0.710,N/A,N/A,N/A,N/A,N/A
batch_test_5067,0.02,-2.10,1.384,1.036,0.900,33.56,11.96,2.143,1.433,0.947,32.83,11.71,2.042,1.386,0.941,N/A,N/A,N/A,N/A,N/A
batch_test_5068,0.00,-2.13,1.495,1.035,0.746,21.21,9.12,2.001,1.244,0.868,15.97,8.25,1.967,1.234,0.847,N/A,N/A,N/A,N/A,N/A
